DATE ; IP ; SOURCE ; DESTINATION ; PORT ; FLAG ; SEQ ; ACK ; WIN ; OPTIONS ; VAL ; ECR ; LENGTH
07:48:32.672938; ;128.1.77.226.1994;52.94.225.248;http:;S;394245758:394245878; ;512; ; ; ;120:
07:48:32.672954; ;128.1.77.226.1995;52.94.225.248;http:;S;1420090548:1420090668; ;512; ; ; ;120:
07:48:32.672971; ;128.1.77.226.1996;52.94.225.248;http:;S;1737247714:1737247834; ;512; ; ; ;120:
07:48:32.672988; ;128.1.77.226.1997;52.94.225.248;http:;S;756581604:756581724; ;512; ; ; ;120:
07:48:32.673004; ;128.1.77.226.1998;52.94.225.248;http:;S;1519131058:1519131178; ;512; ; ; ;120:
07:48:32.673021; ;128.1.77.226.1999;52.94.225.248;http:;S;1105716823:1105716943; ;512; ; ; ;120:
07:48:32.673037; ;128.1.77.226.cisco-sccp;52.94.225.248;http:;S;1769375856:1769375976; ;512; ; ; ;120:
07:48:32.673054; ;128.1.77.226.2001;52.94.225.248;http:;S;949693075:949693195; ;512; ; ; ;120:
07:48:32.673070; ;128.1.77.226.2002;52.94.225.248;http:;S;1260840136:1260840256; ;512; ; ; ;120:
07:48:32.673087; ;128.1.77.226.cfinger;52.94.225.248;http:;S;2095425300:2095425420; ;512; ; ; ;120:
07:48:32.673104; ;128.1.77.226.2004;52.94.225.248;http:;S;334548371:334548491; ;512; ; ; ;120:
07:48:32.673120; ;128.1.77.226.2005;52.94.225.248;http:;S;1459831779:1459831899; ;512; ; ; ;120:
07:48:32.673137; ;128.1.77.226.2006;52.94.225.248;http:;S;690306656:690306776; ;512; ; ; ;120:
07:48:32.673153; ;128.1.77.226.2007;52.94.225.248;http:;S;1077562564:1077562684; ;512; ; ; ;120:
07:48:32.673170; ;128.1.77.226.2008;52.94.225.248;http:;S;1915486477:1915486597; ;512; ; ; ;120:
07:48:32.673186; ;128.1.77.226.2009;52.94.225.248;http:;S;124041074:124041194; ;512; ; ; ;120:
07:48:32.673203; ;128.1.77.226.search;52.94.225.248;http:;S;868057325:868057445; ;512; ; ; ;120:
07:48:32.673219; ;128.1.77.226.2011;52.94.225.248;http:;S;1957007823:1957007943; ;512; ; ; ;120:
